Gamma,n,T,average,sd,min,max,length_scale,lambda
3000,60,50,0.049509171588276765,0.035032035048452446,0.0008456397244261094,0.14762667024677736,60,0.0001
6000,120,50,0.046682520291896505,0.0326618393912472,0.0005086211215957907,0.13326742734808142,60,0.0001
9000,180,50,0.04759109179801199,0.034009688465581646,0.00044256416259305116,0.13761609077232054,60,0.0001
12000,240,50,0.04735826007705862,0.03383986451351015,0.0004154684603954146,0.13659835683923205,60,0.0001
15000,300,50,0.04694607261531633,0.03326562713550183,0.00038229913269419,0.13410806049825136,60,0.0001
18000,360,50,0.047593667880657116,0.03366583523647746,0.000415121418124548,0.13466521004406273,60,0.0001
21000,420,50,0.047505123840496995,0.034139018829058176,0.00038192392198693075,0.13579413252325512,60,0.0001
24000,480,50,0.04710308936003082,0.03379546714713916,0.00034236512586571425,0.13432834846316957,60,0.0001
27000,540,50,0.04699655088909882,0.033441013255424736,0.0003563612711904796,0.13334551012627435,60,0.0001
30000,600,50,0.047104456190832124,0.033798208645960476,0.00036498295533971616,0.1351439627115908,60,0.0001
