Gamma,n,T,average,sd,min,max,k
3000,30,100,0.8360250667049745,0.8411113692267024,0.0005517753233284293,4.03465144330062,3.5
6000,60,100,0.7373083756434798,0.7525180720670762,0.0004642514663621669,2.8798747767377972,3.5
9000,90,100,0.47752317519299436,0.6141738983264791,0.00026874901246930037,4.126234646310797,2.8
12000,120,100,0.4455442547695644,0.4872190244329117,0.0002751716646498479,2.08771471898976,2.8
15000,150,100,0.4126994645205538,0.4563657170443197,0.0002155817552760922,2.341065675247147,2.8
18000,180,100,0.3858111340100487,0.42233594984901623,0.00018984134724779972,2.2214309356034687,2.8
21000,210,100,0.3974179272888504,0.44250579826116676,0.0002581746148142447,2.228049024160545,2.8
24000,240,100,0.37903494677381455,0.427718987749885,0.000254301107874361,2.291196571352031,2.8
27000,270,100,0.33805018609370363,0.4007022635512727,0.0002567517725748524,2.242815026417052,2.8
30000,300,100,0.35837764851154136,0.41709398378640167,0.00014051912952224636,2.227538848243603,2.8
