Gamma,n,T,average,sd,min,max
6000,40,150,0.008314994433980968,0.010392715908936322,0.0001552191485989478,0.05624227526262021
9000,60,150,0.005200770827804826,0.006122549532406797,8.574254511483288e-05,0.03162543280129311
12000,80,150,0.00406513799749259,0.004555171434781661,6.880721580909152e-05,0.023652729925739146
15000,100,150,0.0037231660502781367,0.003985841857367188,5.5277044296338915e-05,0.019642804639141635
18000,120,150,0.003396039956938379,0.003500106028177994,5.172716418041218e-05,0.01739855603497342
21000,140,150,0.003481114473602627,0.00345125198598749,4.459119776814238e-05,0.01678155366922519
24000,160,150,0.0033550207467405286,0.003329646060794857,4.144081568988237e-05,0.016223367387926447
27000,180,150,0.0033135052253275526,0.0032883893033550517,4.010270116513542e-05,0.016017954986835888
30000,200,150,0.0030805482316188337,0.0029759815285825618,3.305430891154119e-05,0.01417285075408282
